pair_a,pair_b,coint_pvalue,coint_score,hedge_ratio,half_life,spread_std,adf_pvalue,adf_stat
EURAUD,CADCHF,0.002742043756763633,-4.28085755793877,-0.5239771464875718,101.06101281066623,0.05226990814620578,0.0004793171457991683,-4.2808840904645535
EURAUD,AUDCHF,0.005145523160433734,-4.0999524326144785,-0.4533272407538133,103.70802679118403,0.042006479009193555,0.0009539898616159983,-4.103970939407042
EURCHF,AUDCHF,0.005149222821396919,-4.099740218891689,0.5475704218947416,104.88441105077078,0.04203713580343857,0.0009568773670124725,-4.103177570521054
EURCHF,CHFJPY,0.007713077536112318,-3.978163866212074,-0.4288312284538237,106.0969047205871,0.047622834069204464,0.00152156581163575,-3.9795314170494294
EURJPY,CHFJPY,0.007873011966469888,-3.971861817595741,0.5713266285916433,106.40817841971405,0.04762972753308218,0.0015506315744355027,-3.974404075244329
NZDUSD,EURCHF,0.010290181757755411,-3.8884261942872587,0.8171776666692222,110.79709055257764,0.0733835684321295,0.002120540098015484,-3.888577127600582
AUDCHF,CADCHF,0.010524755682346837,-3.88129505977929,1.2183172151825818,86.14481919227354,0.04222603037299276,0.0021738584925322,-3.881683556256455
EURNZD,NZDCHF,0.011310476496755784,-3.858399455607196,-0.3182194535847623,130.00146696422695,0.05161900862346392,0.0023473264557060235,-3.8602898857471226
EURCHF,NZDCHF,0.011486859681106968,-3.853455132326245,0.6831658206532297,129.33304288976558,0.05174444886823479,0.002394165877422479,-3.8547639895257317
EURCHF,CADCHF,0.01392851338487117,-3.791150216717056,0.6952059029107369,102.53936340042102,0.03922414339320701,0.0029928732128159186,-3.791748758836213
EURUSD,USDCAD,0.01410396086262085,-3.7870560412998295,-0.6727148104563683,104.68303017937205,0.04231637158587454,0.003049291641067727,-3.7864256925874966
EURCHF,GBPAUD,0.014733426499632427,-3.772728005768934,-0.7235226377961715,151.67332394377624,0.0827407664961086,0.0031053818513396476,-3.781222633807108
USDCHF,AUDJPY,0.015444059372079133,-3.7571872945851963,-0.31224130838980463,99.13081431854432,0.05585861315885051,0.003381665896378759,-3.7567906951478807
NZDUSD,GBPCHF,0.015744799301395836,-3.750799472683629,0.7249387153036608,109.41150466540715,0.07319605998094617,0.0034526059260488007,-3.750813703389875
USDJPY,AUDCHF,0.0164144975662636,-3.7369517394571914,-0.9760789992484847,103.83046656377441,0.08588442931055881,0.0036203281426743983,-3.737118601631152
NZDUSD,AUDCHF,0.016421147361382494,-3.736816745894506,0.5526089907117734,108.55778657651321,0.05728337437155958,0.0036267044287335943,-3.736609519024504
EURUSD,AUDUSD,0.017407966800189044,-3.717296549210645,0.5073392054675316,117.47957553624828,0.043580367421369386,0.0038843411101207813,-3.716696344894081
USDCHF,EURJPY,0.018019924434996188,-3.705673342406243,-0.23578007396208897,106.32648451473759,0.05478417257128408,0.004039983956629529,-3.705244748356562
USDCHF,CADJPY,0.01998197327422966,-3.670600220726296,-0.24007875714428367,103.80852947319178,0.057158218232420455,0.004552821319992098,-3.670171904575811
NZDUSD,CADCHF,0.022311007699564008,-3.63266642411358,0.6191525654943824,114.69749853581271,0.07216285263082213,0.005168096210731408,-3.6325663700046644
EURAUD,GBPCHF,0.022965807652074906,-3.6226215776954866,-0.5250346681123765,133.69576922306115,0.06532628381335563,0.005341840960361728,-3.622685999405205
AUDUSD,USDCAD,0.024563226867395153,-3.5991180665382987,-1.27410672793887,85.06391845359552,0.040018225046823154,0.005775037178590616,-3.5992680141766944
AUDUSD,EURAUD,0.02493223701039568,-3.593876838383178,-1.5572927476648568,136.93310036749,0.07742031374574618,0.005875581959534746,-3.5940613638469467
EURUSD,EURAUD,0.02625967385802054,-3.5755588120309856,-0.5575691773720504,138.53971228575452,0.07745450033062978,0.006248445762626232,-3.5754328560645603
EURAUD,EURCHF,0.027340215488013735,-3.5612263656437464,-0.5376747051458556,126.0960180654904,0.07044102385795575,0.006509478311255976,-3.5629815893401013
USDCHF,EURNZD,0.02852350241202069,-3.5460777859541524,-0.30485019428280813,119.40482760835937,0.05985642472163761,0.006888292716241302,-3.545692461504188
USDJPY,CADCHF,0.029157178788554554,-3.538185221771317,-1.1676031389867974,112.33820716995588,0.10034169843902783,0.0070505365138612,-3.5385491586503597
USDJPY,EURCHF,0.029996064694403676,-3.5279590821568143,-1.5610894083128195,106.30302390877307,0.10004507687245849,0.004332201575467881,-3.6847936076877006
USDCHF,GBPJPY,0.030039032420049842,-3.527441898743022,-0.1896581300005099,112.7946688739517,0.05708154824474278,0.007320427955665438,-3.5269885526614804
EURAUD,CHFJPY,0.030649240783418102,-3.5201643386076866,0.3020794044067257,131.88945908683294,0.061502310706262574,0.007489106511274768,-3.519957016294904
EURCHF,CADJPY,0.03361591856134028,-3.486446718850676,-0.5387787813534544,152.84474885188416,0.08617827932148205,0.008324336801428123,-3.4871113844389994
GBPAUD,CADCHF,0.03640511865551588,-3.456972230901262,-0.47109823627292385,132.3929787349024,0.0613926119594073,0.00916787987878255,-3.456817893392807
AUDUSD,CADCHF,0.03821310108244562,-3.4388686634413714,0.9932410366445391,119.2194287822063,0.0790721544306961,0.009707716350640836,-3.4387173307973695
AUDUSD,EURCHF,0.04244546056892311,-3.3991455617211255,1.2414381299235986,143.83810132487707,0.09316944449101852,0.01098055438404614,-3.3993645135189965
EURNZD,GBPCHF,0.0452851265874033,-3.37430925056871,-0.19125595967020273,145.48791943823477,0.06307008285502007,0.011871900841292169,-3.3741609600684126
CADCHF,EURCAD,0.0452964990042284,-3.3742124185409836,-1.7897079452103763,171.93849397992994,0.09474833175690305,0.011498402237958488,-3.38450982559811
EURCHF,EURCAD,0.04553442262908421,-3.3721911929147534,-0.7907062414965225,170.33367896954053,0.09487345754137581,0.011578768202464278,-3.3822580756756273
NZDUSD,EURAUD,0.0481304394408438,-3.350687078978864,-0.9992474949886444,133.91241940296294,0.06817991817741245,0.012761643466290542,-3.3506272046139856
USDCAD,EURAUD,0.04815007865575067,-3.350528089883677,1.0984583247895994,137.63695726653498,0.07113856199583211,0.012729697063164696,-3.351446619761176
AUDJPY,CADJPY,0.04887273693081346,-3.3447146841394946,0.7479893881917399,113.0242232733741,0.043751947880886634,0.013019090624101125,-3.344089311881149
USDCHF,GBPNZD,0.049084421930942215,-3.3430252146642987,-0.23099597900323077,125.97884145851256,0.06131204595790494,0.013079718469707648,-3.342566335782656
NZDUSD,NZDCHF,0.049373505453613555,-3.340727694036615,0.743589166009046,126.44935691563144,0.05296377746226819,0.013173374605521185,-3.3402259285431817
EURNZD,CHFJPY,0.050323208048649495,-3.3332569786924684,0.1050070623855786,145.9869118609749,0.06297280057931584,0.013463734775186831,-3.3330624670635483
